79,"00: 00: 15","0.00","0.00","0.02","0.19","0.01","0.20","0.43","0.12","0.00","-1.83"
80,"00: 00: 16","0.00","0.00","0.03","0.19","0.00","0.20","0.43","0.10","0.01","-1.34"
81,"00: 00: 16","0.00","0.00","0.03","0.20","0.00","0.19","0.43","0.08","0.01","-0.91"
82,"00: 00: 16","0.00","0.00","0.04","0.24","0.00","0.19","0.43","0.08","0.01","-2.01"
83,"00: 00: 16","0.00","0.00","0.05","0.26","0.00","0.19","0.43","0.08","0.01","-3.25"
84,"00: 00: 16","0.00","0.00","0.05","0.26","0.00","0.19","0.43","0.09","0.01","-3.94"
85,"00: 00: 16","0.00","0.00","0.08","0.29","0.00","0.20","0.43","0.09","0.01","-5.64"
86,"00: 00: 16","0.00","0.00","0.09","0.23","0.00","0.21","0.43","0.11","0.01","-5.84"
87,"00: 00: 17","0.00","0.00","0.11","0.15","0.01","0.23","0.43","0.16","0.01","-6.56"
88,"00: 00: 17","0.00","0.00","0.15","0.08","0.02","0.27","0.43","0.29","0.02","-7.88"
89,"00: 00: 17","0.00","0.00","0.09","0.12","0.01","0.24","0.43","0.17","0.01","-5.51"
90,"00: 00: 17","0.00","0.00","0.09","0.14","0.01","0.24","0.43","0.17","0.01","-5.92"
91,"00: 00: 17","0.00","0.00","0.09","0.13","0.01","0.24","0.43","0.17","0.01","-5.43"
92,"00: 00: 17","0.00","0.00","0.07","0.19","0.01","0.23","0.43","0.12","0.01","-4.91"
93,"00: 00: 18","0.00","0.00","0.06","0.16","0.01","0.35","0.43","0.13","0.01","-3.87"
94,"00: 00: 18","0.00","0.00","0.04","0.18","0.01","0.30","0.43","0.10","0.01","-2.60"
95,"00: 00: 18","0.00","0.00","0.03","0.20","0.00","0.49","0.43","0.09","0.01","-1.36"
96,"00: 00: 18","0.00","0.00","0.03","0.20","0.00","0.49","0.43","0.09","0.01","-1.43"
97,"00: 00: 18","0.00","0.00","0.02","0.20","0.00","0.30","0.43","0.09","0.00","-0.54"
98,"00: 00: 18","0.00","0.00","0.02","0.23","0.00","0.47","0.43","0.16","0.01","-2.08"
99,"00: 00: 19","0.00","0.00","0.02","0.25","0.00","2.15","0.43","0.19","0.01","-2.27"
100,"00: 00: 19","0.00","0.00","0.02","0.22","0.00","10.21","0.43","0.11","0.00","-0.44"
101,"00: 00: 19","0.00","0.00","0.02","0.24","0.00","0.24","0.43","0.11","0.01","-0.11"
102,"00: 00: 19","0.00","0.00","0.02","0.23","0.00","0.20","0.42","0.10","0.01","-0.13"
103,"00: 00: 19","0.00","0.00","0.02","0.33","0.00","0.20","0.41","0.18","0.01","-0.29"
104,"00: 00: 19","0.00","0.00","0.02","0.33","0.00","0.20","0.24","0.31","0.01","-2.73"
105,"00: 00: 20","0.00","0.00","0.02","0.24","0.00","0.19","0.27","0.17","0.01","-2.20"
106,"00: 00: 20","0.00","0.00","0.01","0.62","0.00","0.20","0.30","0.59","0.01","-1.73"
107,"00: 00: 20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
108,"00: 00: 20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
109,"00: 00: 20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
110,"00: 00: 20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
111,"00: 00: 20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
112,"00: 00: 21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
113,"00: 00: 21","0.00","0.00","0.00","22.28","0.00","0.19","0.05","91.44","0.06","15.37"
114,"00: 00: 21","0.00","0.00","0.00","22.27","0.00","0.20","0.03","95.54","0.06","-2.81"
115,"00: 00: 21","0.01","0.00","0.00","21.89","0.00","0.21","0.16","74.76","0.06","-8.02"
116,"00: 00: 21","0.00","0.00","0.00","12.70","0.00","0.33","0.41","33.13","0.05","-3.09"
117,"00: 00: 21","0.00","0.00","0.02","0.27","0.00","1.49","0.43","0.14","0.01","-1.08"
118,"00: 00: 21","0.00","0.00","0.02","0.20","0.00","8.47","0.43","0.08","0.00","-0.82"
119,"00: 00: 22","0.00","0.00","0.03","0.20","0.00","1.34","0.43","0.09","0.00","-0.91"
120,"00: 00: 22","0.00","0.00","0.03","0.20","0.00","0.33","0.42","0.09","0.01","-1.21"
121,"00: 00: 22","0.00","0.00","0.03","0.22","0.00","0.33","0.40","0.09","0.01","-2.27"
122,"00: 00: 22","0.00","0.00","0.05","0.27","0.00","0.34","0.27","0.14","0.01","-6.34"
123,"00: 00: 22","0.00","0.00","0.08","0.34","0.00","3.83","0.08","0.53","0.01","-14.74"
124,"00: 00: 23","0.00","0.00","0.10","0.42","0.00","20.50","0.01","9.63","0.02","-30.76"
125,"00: 00: 23","0.00","0.00","0.12","0.47","0.00","13.00","0.00","13.18","0.02","-33.31"
126,"00: 00: 23","0.00","0.00","0.06","0.33","0.00","29.78","0.00","12.68","0.01","-29.89"
127,"00: 00: 23","0.00","0.00","0.08","0.33","0.00","25.31","0.01","7.49","0.01","-27.71"
128,"00: 00: 23","0.00","0.00","0.04","0.26","0.00","15.30","0.01","7.94","0.01","-25.18"
129,"00: 00: 23","0.00","0.00","0.05","0.24","0.00","12.29","0.02","2.49","0.01","-19.69"
130,"00: 00: 23","0.00","0.00","0.09","0.25","0.00","22.30","0.02","4.43","0.01","-24.46"
131,"00: 00: 24","0.00","0.00","0.07","0.19","0.01","10.37","0.05","1.56","0.01","-17.29"
